"Order","Family","Genus","species","Scientific name","English name"
"Procellariiformes","Procellariidae","Macronectes","giganteus","Macronectes giganteus","Southern Giant-Petrel"
"Procellariiformes","Procellariidae","Macronectes","halli","Macronectes halli","Northern Giant-Petrel"
"Procellariiformes","Procellariidae","Fulmarus","glacialis","Fulmarus glacialis","Northern Fulmar"
"Procellariiformes","Procellariidae","Fulmarus","glacialoides","Fulmarus glacialoides","Southern Fulmar"
"Procellariiformes","Procellariidae","Thalassoica","antarctica","Thalassoica antarctica","Antarctic Petrel"
"Procellariiformes","Procellariidae","Daption","capense","Daption capense","Pintado Petrel"
"Procellariiformes","Procellariidae","Pagodroma","nivea","Pagodroma nivea","Snow Petrel"
"Procellariiformes","Procellariidae","Aphrodroma","brevirostris","Aphrodroma brevirostris","Kerguelen Petrel"
"Procellariiformes","Procellariidae","Pterodroma","leucoptera","Pterodroma leucoptera","Gould's Petrel"
"Procellariiformes","Procellariidae","Pterodroma","macroptera","Pterodroma macroptera","Great-winged Petrel"
"Procellariiformes","Procellariidae","Pterodroma","mollis","Pterodroma mollis","Soft-plumaged Petrel"
"Procellariiformes","Procellariidae","Pterodroma","hasitata","Pterodroma hasitata","Black-capped Petrel"
"Procellariiformes","Procellariidae","Pterodroma","incerta","Pterodroma incerta","Atlantic Petrel"
"Procellariiformes","Procellariidae","Pterodroma","lessonii","Pterodroma lessonii","White-headed Petrel"
"Procellariiformes","Procellariidae","Pterodroma","cookii","Pterodroma cookii","Cook's Petrel"
"Procellariiformes","Procellariidae","Pterodroma","nigripennis","Pterodroma nigripennis","Black-winged Petrel"
"Procellariiformes","Procellariidae","Pterodroma","defilippiana","Pterodroma defilippiana","Masatierra Petrel"
"Procellariiformes","Procellariidae","Pterodroma","longirostris","Pterodroma longirostris","Stejneger's Petrel"
"Procellariiformes","Procellariidae","Pterodroma","ultima","Pterodroma ultima","Murphy's Petrel"
"Procellariiformes","Procellariidae","Pterodroma","neglecta","Pterodroma neglecta","Kermadec Petrel"
"Procellariiformes","Procellariidae","Pterodroma","arminjoniana","Pterodroma arminjoniana","Trindade Petrel"
"Procellariiformes","Procellariidae","Pterodroma","inexpectata","Pterodroma inexpectata","Mottled Petrel"
"Procellariiformes","Procellariidae","Pterodroma","phaeopygia","Pterodroma phaeopygia","Galapagos Petrel"
"Procellariiformes","Procellariidae","Pterodroma","externa","Pterodroma externa","Juan Fernandez Petrel"
"Procellariiformes","Procellariidae","Pterodroma","feae","Pterodroma feae","Fea's Petrel"
"Procellariiformes","Procellariidae","Halobaena","caerulea","Halobaena caerulea","Blue Petrel"
"Procellariiformes","Procellariidae","Pachyptila","turtur","Pachyptila turtur","Fairy Prion"
"Procellariiformes","Procellariidae","Pachyptila","vittata","Pachyptila vittata","Broad-billed Prion"
"Procellariiformes","Procellariidae","Pachyptila","desolata","Pachyptila desolata","Antarctic Prion"
"Procellariiformes","Procellariidae","Pachyptila","belcheri","Pachyptila belcheri","Slender-billed Prion"
"Procellariiformes","Procellariidae","Bulweria","bulwerii","Bulweria bulwerii","Bulwer's Petrel"
"Procellariiformes","Procellariidae","Procellaria","cinerea","Procellaria cinerea","Gray Petrel"
"Procellariiformes","Procellariidae","Procellaria","aequinoctialis","Procellaria aequinoctialis","White-chinned Petrel"
"Procellariiformes","Procellariidae","Procellaria","conspicillata","Procellaria conspicillata","Spectacled Petrel"
"Procellariiformes","Procellariidae","Procellaria","parkinsoni","Procellaria parkinsoni","Parkinson's Petrel"
"Procellariiformes","Procellariidae","Procellaria","westlandica","Procellaria westlandica","Westland Petrel"
"Procellariiformes","Procellariidae","Calonectris","diomedea","Calonectris diomedea","Cory's Shearwater"
"Procellariiformes","Procellariidae","Calonectris","edwardsii","Calonectris edwardsii","Cape Verde Shearwater"
"Procellariiformes","Procellariidae","Ardenna","pacifica","Ardenna pacifica","Wedge-tailed Shearwater"
"Procellariiformes","Procellariidae","Ardenna","bulleri","Ardenna bulleri","Buller's Shearwater"
"Procellariiformes","Procellariidae","Ardenna","tenuirostris","Ardenna tenuirostris","Short-tailed Shearwater"
"Procellariiformes","Procellariidae","Ardenna","grisea","Ardenna grisea","Sooty Shearwater"
"Procellariiformes","Procellariidae","Ardenna","gravis","Ardenna gravis","Great Shearwater"
"Procellariiformes","Procellariidae","Ardenna","creatopus","Ardenna creatopus","Pink-footed Shearwater"
"Procellariiformes","Procellariidae","Ardenna","carneipes","Ardenna carneipes","Flesh-footed Shearwater"
"Procellariiformes","Procellariidae","Puffinus","nativitatis","Puffinus nativitatis","Christmas Shearwater"
"Procellariiformes","Procellariidae","Puffinus","subalaris","Puffinus subalaris","Galapagos Shearwater"
"Procellariiformes","Procellariidae","Puffinus","puffinus","Puffinus puffinus","Manx Shearwater"
"Procellariiformes","Procellariidae","Puffinus","assimilis","Puffinus assimilis","Little Shearwater"
"Procellariiformes","Procellariidae","Puffinus","lherminieri","Puffinus lherminieri","Audubon's Shearwater"
"Procellariiformes","Procellariidae","Pelecanoides","garnotii","Pelecanoides garnotii","Peruvian Diving-Petrel"
"Procellariiformes","Procellariidae","Pelecanoides","urinatrix","Pelecanoides urinatrix","Common Diving-Petrel"
"Procellariiformes","Procellariidae","Pelecanoides","georgicus","Pelecanoides georgicus","South Georgia Diving-Petrel"
"Procellariiformes","Procellariidae","Pelecanoides","magellani","Pelecanoides magellani","Magellanic Diving-Petrel"
"Ciconiiformes","Ciconiidae","Ciconia","maguari","Ciconia maguari","Maguari Stork"
"Ciconiiformes","Ciconiidae","Jabiru","mycteria","Jabiru mycteria","Jabiru"
"Ciconiiformes","Ciconiidae","Mycteria","americana","Mycteria americana","Wood Stork"
"Suliformes","Fregatidae","Fregata","ariel","Fregata ariel","Lesser Frigatebird"
"Suliformes","Fregatidae","Fregata","magnificens","Fregata magnificens","Magnificent Frigatebird"
"Suliformes","Fregatidae","Fregata","minor","Fregata minor","Great Frigatebird"
"Suliformes","Fregatidae","Fregata","aquila","Fregata aquila","Ascension Frigatebird"
"Suliformes","Sulidae","Morus","capensis","Morus capensis","Cape Gannet"
"Suliformes","Sulidae","Morus","serrator","Morus serrator","Australasian Gannet"
"Suliformes","Sulidae","Sula","nebouxii","Sula nebouxii","Blue-footed Booby"
"Suliformes","Sulidae","Sula","variegata","Sula variegata","Peruvian Booby"
"Suliformes","Sulidae","Sula","dactylatra","Sula dactylatra","Masked Booby"
"Suliformes","Sulidae","Sula","granti","Sula granti","Nazca Booby"
"Suliformes","Sulidae","Sula","sula","Sula sula","Red-footed Booby"
"Suliformes","Sulidae","Sula","leucogaster","Sula leucogaster","Brown Booby"
"Suliformes","Sulidae","Sula","brewsteri","Sula brewsteri","Brewster's Booby"
"Suliformes","Anhingidae","Anhinga","anhinga","Anhinga anhinga","Anhinga"
"Suliformes","Phalacrocoracidae","Phalacrocorax","gaimardi","Phalacrocorax gaimardi","Red-legged Cormorant"
"Suliformes","Phalacrocoracidae","Phalacrocorax","harrisi","Phalacrocorax harrisi","Flightless Cormorant"
"Suliformes","Phalacrocoracidae","Phalacrocorax","brasilianus","Phalacrocorax brasilianus","Neotropic Cormorant"
"Suliformes","Phalacrocoracidae","Phalacrocorax","magellanicus","Phalacrocorax magellanicus","Magellanic Cormorant"
"Suliformes","Phalacrocoracidae","Phalacrocorax","bougainvillii","Phalacrocorax bougainvillii","Guanay Cormorant"
"Suliformes","Phalacrocoracidae","Phalacrocorax","atriceps","Phalacrocorax atriceps","Imperial Cormorant"
"Pelecaniformes","Pelecanidae","Pelecanus","occidentalis","Pelecanus occidentalis","Brown Pelican"
"Pelecaniformes","Pelecanidae","Pelecanus","thagus","Pelecanus thagus","Peruvian Pelican"
"Pelecaniformes","Ardeidae","Tigrisoma","lineatum","Tigrisoma lineatum","Rufescent Tiger-Heron"
"Pelecaniformes","Ardeidae","Tigrisoma","mexicanum","Tigrisoma mexicanum","Bare-throated Tiger-Heron"
"Pelecaniformes","Ardeidae","Tigrisoma","fasciatum","Tigrisoma fasciatum","Fasciated Tiger-Heron"
"Pelecaniformes","Ardeidae","Cochlearius","cochlearius","Cochlearius cochlearius","Boat-billed Heron"
"Pelecaniformes","Ardeidae","Agamia","agami","Agamia agami","Agami Heron"
"Pelecaniformes","Ardeidae","Zebrilus","undulatus","Zebrilus undulatus","Zigzag Heron"
"Pelecaniformes","Ardeidae","Ixobrychus","involucris","Ixobrychus involucris","Stripe-backed Bittern"
"Pelecaniformes","Ardeidae","Ixobrychus","exilis","Ixobrychus exilis","Least Bittern"
"Pelecaniformes","Ardeidae","Botaurus","pinnatus","Botaurus pinnatus","Pinnated Bittern"
"Pelecaniformes","Ardeidae","Pilherodius","pileatus","Pilherodius pileatus","Capped Heron"
"Pelecaniformes","Ardeidae","Syrigma","sibilatrix","Syrigma sibilatrix","Whistling Heron"
"Pelecaniformes","Ardeidae","Egretta","caerulea","Egretta caerulea","Little Blue Heron"
"Pelecaniformes","Ardeidae","Egretta","tricolor","Egretta tricolor","Tricolored Heron"
"Pelecaniformes","Ardeidae","Egretta","rufescens","Egretta rufescens","Reddish Egret"
"Pelecaniformes","Ardeidae","Egretta","thula","Egretta thula","Snowy Egret"
"Pelecaniformes","Ardeidae","Egretta","garzetta","Egretta garzetta","Little Egret"
"Pelecaniformes","Ardeidae","Egretta","gularis","Egretta gularis","Western Reef-Heron"
"Pelecaniformes","Ardeidae","Nyctanassa","violacea","Nyctanassa violacea","Yellow-crowned Night-Heron"
"Pelecaniformes","Ardeidae","Nycticorax","nycticorax","Nycticorax nycticorax","Black-crowned Night-Heron"
"Pelecaniformes","Ardeidae","Butorides","striata","Butorides striata","Striated Heron"
"Pelecaniformes","Ardeidae","Butorides","virescens","Butorides virescens","Green Heron"
"Pelecaniformes","Ardeidae","Ardeola","ralloides","Ardeola ralloides","Squacco Heron"
"Pelecaniformes","Ardeidae","Bubulcus","ibis","Bubulcus ibis","Cattle Egret"
"Pelecaniformes","Ardeidae","Ardea","alba","Ardea alba","Great Egret"
"Pelecaniformes","Ardeidae","Ardea","cinerea","Ardea cinerea","Gray Heron"
"Pelecaniformes","Ardeidae","Ardea","herodias","Ardea herodias","Great Blue Heron"
"Pelecaniformes","Ardeidae","Ardea","cocoi","Ardea cocoi","Cocoi Heron"
"Pelecaniformes","Ardeidae","Ardea","purpurea","Ardea purpurea","Purple Heron"
"Pelecaniformes","Threskiornithidae","Eudocimus","albus","Eudocimus albus","White Ibis"
"Pelecaniformes","Threskiornithidae","Eudocimus","ruber","Eudocimus ruber","Scarlet Ibis"
"Pelecaniformes","Threskiornithidae","Plegadis","falcinellus","Plegadis falcinellus","Glossy Ibis"
"Pelecaniformes","Threskiornithidae","Plegadis","chihi","Plegadis chihi","White-faced Ibis"
"Pelecaniformes","Threskiornithidae","Plegadis","ridgwayi","Plegadis ridgwayi","Puna Ibis"
"Pelecaniformes","Threskiornithidae","Cercibis","oxycerca","Cercibis oxycerca","Sharp-tailed Ibis"
"Pelecaniformes","Threskiornithidae","Mesembrinibis","cayennensis","Mesembrinibis cayennensis","Green Ibis"
"Pelecaniformes","Threskiornithidae","Phimosus","infuscatus","Phimosus infuscatus","Bare-faced Ibis"
"Pelecaniformes","Threskiornithidae","Theristicus","caerulescens","Theristicus caerulescens","Plumbeous Ibis"
"Pelecaniformes","Threskiornithidae","Theristicus","caudatus","Theristicus caudatus","Buff-necked Ibis"
"Pelecaniformes","Threskiornithidae","Theristicus","branickii","Theristicus branickii","Andean Ibis"
"Pelecaniformes","Threskiornithidae","Theristicus","melanopis","Theristicus melanopis","Black-faced Ibis"
"Pelecaniformes","Threskiornithidae","Platalea","leucorodia","Platalea leucorodia","Eurasian Spoonbill"
"Pelecaniformes","Threskiornithidae","Platalea","ajaja","Platalea ajaja","Roseate Spoonbill"
"Cathartiformes","Cathartidae","Sarcoramphus","papa","Sarcoramphus papa","King Vulture"
"Cathartiformes","Cathartidae","Vultur","gryphus","Vultur gryphus","Andean Condor"
"Cathartiformes","Cathartidae","Coragyps","atratus","Coragyps atratus","Black Vulture"
"Cathartiformes","Cathartidae","Cathartes","aura","Cathartes aura","Turkey Vulture"
"Cathartiformes","Cathartidae","Cathartes","burrovianus","Cathartes burrovianus","Lesser Yellow-headed Vulture"
"Cathartiformes","Cathartidae","Cathartes","melambrotus","Cathartes melambrotus","Greater Yellow-headed Vulture"
"Accipitriformes","Pandionidae","Pandion","haliaetus","Pandion haliaetus","Osprey"
"Accipitriformes","Accipitridae","Gampsonyx","swainsonii","Gampsonyx swainsonii","Pearl Kite"
"Accipitriformes","Accipitridae","Elanus","leucurus","Elanus leucurus","White-tailed Kite"
"Accipitriformes","Accipitridae","Chondrohierax","uncinatus","Chondrohierax uncinatus","Hook-billed Kite"
"Accipitriformes","Accipitridae","Leptodon","cayanensis","Leptodon cayanensis","Gray-headed Kite"
"Accipitriformes","Accipitridae","Leptodon","forbesi","Leptodon forbesi","White-collared Kite"
"Accipitriformes","Accipitridae","Elanoides","forficatus","Elanoides forficatus","Swallow-tailed Kite"
"Accipitriformes","Accipitridae","Morphnus","guianensis","Morphnus guianensis","Crested Eagle"
"Accipitriformes","Accipitridae","Harpia","harpyja","Harpia harpyja","Harpy Eagle"
"Accipitriformes","Accipitridae","Spizaetus","tyrannus","Spizaetus tyrannus","Black Hawk-Eagle"
"Accipitriformes","Accipitridae","Spizaetus","melanoleucus","Spizaetus melanoleucus","Black-and-white Hawk-Eagle"
"Accipitriformes","Accipitridae","Spizaetus","ornatus","Spizaetus ornatus","Ornate Hawk-Eagle"
"Accipitriformes","Accipitridae","Spizaetus","isidori","Spizaetus isidori","Black-and-chestnut Eagle"
"Accipitriformes","Accipitridae","Busarellus","nigricollis","Busarellus nigricollis","Black-collared Hawk"
"Accipitriformes","Accipitridae","Rostrhamus","sociabilis","Rostrhamus sociabilis","Snail Kite"
"Accipitriformes","Accipitridae","Helicolestes","hamatus","Helicolestes hamatus","Slender-billed Kite"
"Accipitriformes","Accipitridae","Harpagus","bidentatus","Harpagus bidentatus","Double-toothed Kite"
"Accipitriformes","Accipitridae","Harpagus","diodon","Harpagus diodon","Rufous-thighed Kite"
"Accipitriformes","Accipitridae","Ictinia","mississippiensis","Ictinia mississippiensis","Mississippi Kite"
"Accipitriformes","Accipitridae","Ictinia","plumbea","Ictinia plumbea","Plumbeous Kite"
"Accipitriformes","Accipitridae","Circus","hudsonius","Circus hudsonius","Northern Harrier"
"Accipitriformes","Accipitridae","Circus","cinereus","Circus cinereus","Cinereous Harrier"
"Accipitriformes","Accipitridae","Circus","buffoni","Circus buffoni","Long-winged Harrier"
"Accipitriformes","Accipitridae","Accipiter","poliogaster","Accipiter poliogaster","Gray-bellied Hawk"
"Accipitriformes","Accipitridae","Accipiter","striatus","Accipiter striatus","Sharp-shinned Hawk"
"Accipitriformes","Accipitridae","Accipiter","cooperii","Accipiter cooperii","Cooper's Hawk"
"Accipitriformes","Accipitridae","Accipiter","bicolor","Accipiter bicolor","Bicolored Hawk"
"Accipitriformes","Accipitridae","Microspizias","superciliosus","Microspizias superciliosus","Tiny Hawk"
"Accipitriformes","Accipitridae","Microspizias","collaris","Microspizias collaris","Semicollared Hawk"
"Accipitriformes","Accipitridae","Milvus","migrans","Milvus migrans","Black Kite"
"Accipitriformes","Accipitridae","Geranospiza","caerulescens","Geranospiza caerulescens","Crane Hawk"
"Accipitriformes","Accipitridae","Cryptoleucopteryx","plumbea","Cryptoleucopteryx plumbea","Plumbeous Hawk"
"Accipitriformes","Accipitridae","Buteogallus","schistaceus","Buteogallus schistaceus","Slate-colored Hawk"
"Accipitriformes","Accipitridae","Buteogallus","anthracinus","Buteogallus anthracinus","Common BlackHawk"
"Accipitriformes","Accipitridae","Buteogallus","aequinoctialis","Buteogallus aequinoctialis","Rufous Crab Hawk"
"Accipitriformes","Accipitridae","Buteogallus","meridionalis","Buteogallus meridionalis","Savanna Hawk"
"Accipitriformes","Accipitridae","Buteogallus","lacernulatus","Buteogallus lacernulatus","White-necked Hawk"
"Accipitriformes","Accipitridae","Buteogallus","urubitinga","Buteogallus urubitinga","Great Black Hawk"
"Accipitriformes","Accipitridae","Buteogallus","solitarius","Buteogallus solitarius","Solitary Eagle"
"Accipitriformes","Accipitridae","Buteogallus","coronatus","Buteogallus coronatus","Chaco Eagle"
"Accipitriformes","Accipitridae","Morphnarchus","princeps","Morphnarchus princeps","Barred Hawk"
"Accipitriformes","Accipitridae","Rupornis","magnirostris","Rupornis magnirostris","Roadside Hawk"
"Accipitriformes","Accipitridae","Parabuteo","unicinctus","Parabuteo unicinctus","Harris's Hawk"
"Accipitriformes","Accipitridae","Parabuteo","leucorrhous","Parabuteo leucorrhous","White-rumped Hawk"
"Accipitriformes","Accipitridae","Geranoaetus","albicaudatus","Geranoaetus albicaudatus","White-tailed Hawk"
"Accipitriformes","Accipitridae","Geranoaetus","polyosoma","Geranoaetus polyosoma","Variable Hawk"
"Accipitriformes","Accipitridae","Geranoaetus","melanoleucus","Geranoaetus melanoleucus","Black-chested Buzzard-Eagle"
"Accipitriformes","Accipitridae","Pseudastur","polionotus","Pseudastur polionotus","Mantled Hawk"
"Accipitriformes","Accipitridae","Pseudastur","albicollis","Pseudastur albicollis","White Hawk"
"Accipitriformes","Accipitridae","Pseudastur","occidentalis","Pseudastur occidentalis","Gray-backed Hawk"
"Accipitriformes","Accipitridae","Leucopternis","semiplumbeus","Leucopternis semiplumbeus","Semiplumbeous Hawk"
"Accipitriformes","Accipitridae","Leucopternis","melanops","Leucopternis melanops","Black-faced Hawk"
"Accipitriformes","Accipitridae","Leucopternis","kuhli","Leucopternis kuhli","White-browed Hawk"
"Accipitriformes","Accipitridae","Buteo","nitidus","Buteo nitidus","Gray-lined Hawk"
"Accipitriformes","Accipitridae","Buteo","platypterus","Buteo platypterus","Broad-winged Hawk"
"Accipitriformes","Accipitridae","Buteo","albigula","Buteo albigula","White-throated Hawk"
"Accipitriformes","Accipitridae","Buteo","brachyurus","Buteo brachyurus","Short-tailed Hawk"
"Accipitriformes","Accipitridae","Buteo","swainsoni","Buteo swainsoni","Swainson's Hawk"
"Accipitriformes","Accipitridae","Buteo","galapagoensis","Buteo galapagoensis","Galapagos Hawk"
"Accipitriformes","Accipitridae","Buteo","albonotatus","Buteo albonotatus","Zone-tailed Hawk"
"Accipitriformes","Accipitridae","Buteo","jamaicensis","Buteo jamaicensis","Red-tailed Hawk"
"Accipitriformes","Accipitridae","Buteo","ventralis","Buteo ventralis","Rufous-tailed Hawk"
"Strigiformes","Tytonidae","Tyto","furcata","Tyto furcata","American Barn Owl"
"Strigiformes","Strigidae","Megascops","clarkii","Megascops clarkii","Bare-shanked Screech-Owl"
"Strigiformes","Strigidae","Megascops","albogularis","Megascops albogularis","White-throated Screech-Owl"
"Strigiformes","Strigidae","Megascops","choliba","Megascops choliba","Tropical Screech-Owl"
"Strigiformes","Strigidae","Megascops","koepckeae","Megascops koepckeae","Koepcke's Screech-Owl"
"Strigiformes","Strigidae","Megascops","ingens","Megascops ingens","Rufescent Screech-Owl"
"Strigiformes","Strigidae","Megascops","petersoni","Megascops petersoni","Cinnamon Screech-Owl"
"Strigiformes","Strigidae","Megascops","marshalli","Megascops marshalli","Cloud-forest Screech-Owl"
"Strigiformes","Strigidae","Megascops","hoyi","Megascops hoyi","Montane Forest Screech-Owl"
"Strigiformes","Strigidae","Megascops","centralis","Megascops centralis","Choco Screech-Owl"
"Strigiformes","Strigidae","Megascops","roraimae","Megascops roraimae","Foothill Screech-Owl"
"Strigiformes","Strigidae","Megascops","sanctaecatarinae","Megascops sanctaecatarinae","Long-tufted Screech-Owl"
"Strigiformes","Strigidae","Megascops","gilesi","Megascops gilesi","Santa Marta Screech-Owl"
"Strigiformes","Strigidae","Megascops","roboratus","Megascops roboratus","Peruvian Screech-Owl"
"Strigiformes","Strigidae","Megascops","watsonii","Megascops watsonii","Tawny-bellied Screech-Owl"
"Strigiformes","Strigidae","Megascops","atricapilla","Megascops atricapilla","Black-capped Screech-Owl"
"Strigiformes","Strigidae","Lophostrix","cristata","Lophostrix cristata","Crested Owl"
"Strigiformes","Strigidae","Pulsatrix","perspicillata","Pulsatrix perspicillata","Spectacled Owl"
"Strigiformes","Strigidae","Pulsatrix","koeniswaldiana","Pulsatrix koeniswaldiana","Tawny-browed Owl"
"Strigiformes","Strigidae","Pulsatrix","melanota","Pulsatrix melanota","Band-bellied Owl"
"Strigiformes","Strigidae","Bubo","virginianus","Bubo virginianus","Great Horned Owl"
"Strigiformes","Strigidae","Strix","hylophila","Strix hylophila","Rusty-barred Owl"
"Strigiformes","Strigidae","Strix","chacoensis","Strix chacoensis","Chaco Owl"
"Strigiformes","Strigidae","Strix","rufipes","Strix rufipes","Rufous-legged Owl"
"Strigiformes","Strigidae","Strix","virgata","Strix virgata","Mottled Owl"
"Strigiformes","Strigidae","Strix","nigrolineata","Strix nigrolineata","Black-and-white Owl"
"Strigiformes","Strigidae","Strix","huhula","Strix huhula","Black-banded Owl"
"Strigiformes","Strigidae","Strix","albitarsis","Strix albitarsis","Rufous-banded Owl"
"Strigiformes","Strigidae","Glaucidium","nubicola","Glaucidium nubicola","Cloud-forest Pygmy-Owl"
"Strigiformes","Strigidae","Glaucidium","jardinii","Glaucidium jardinii","Andean Pygmy-Owl"
"Strigiformes","Strigidae","Glaucidium","bolivianum","Glaucidium bolivianum","Yungas Pygmy-Owl"
"Strigiformes","Strigidae","Glaucidium","parkeri","Glaucidium parkeri","Subtropical Pygmy-Owl"
"Strigiformes","Strigidae","Glaucidium","griseiceps","Glaucidium griseiceps","Central American Pygmy-Owl"
"Strigiformes","Strigidae","Glaucidium","hardyi","Glaucidium hardyi","Amazonian Pygmy-Owl"
"Strigiformes","Strigidae","Glaucidium","mooreorum","Glaucidium mooreorum","Pernambuco Pygmy-Owl"
"Strigiformes","Strigidae","Glaucidium","minutissimum","Glaucidium minutissimum","Least Pygmy-Owl"
"Strigiformes","Strigidae","Glaucidium","brasilianum","Glaucidium brasilianum","Ferruginous Pygmy-Owl"
"Strigiformes","Strigidae","Glaucidium","peruanum","Glaucidium peruanum","Peruvian Pygmy-Owl"
"Strigiformes","Strigidae","Glaucidium","nana","Glaucidium nana","Austral Pygmy-Owl"
"Strigiformes","Strigidae","Xenoglaux","loweryi","Xenoglaux loweryi","Long-whiskered Owlet"
"Strigiformes","Strigidae","Athene","cunicularia","Athene cunicularia","Burrowing Owl"
"Strigiformes","Strigidae","Aegolius","harrisii","Aegolius harrisii","Buff-fronted Owl"
"Strigiformes","Strigidae","Asio","clamator","Asio clamator","Striped Owl"
"Strigiformes","Strigidae","Asio","stygius","Asio stygius","Stygian Owl"
"Strigiformes","Strigidae","Asio","flammeus","Asio flammeus","Short-eared Owl"
"Trogoniformes","Trogonidae","Pharomachrus","pavoninus","Pharomachrus pavoninus","Pavonine Quetzal"
"Trogoniformes","Trogonidae","Pharomachrus","auriceps","Pharomachrus auriceps","Golden-headed Quetzal"
"Trogoniformes","Trogonidae","Pharomachrus","fulgidus","Pharomachrus fulgidus","White-tipped Quetzal"
"Trogoniformes","Trogonidae","Pharomachrus","antisianus","Pharomachrus antisianus","Crested Quetzal"
"Trogoniformes","Trogonidae","Trogon","massena","Trogon massena","Slaty-tailed Trogon"
"Trogoniformes","Trogonidae","Trogon","comptus","Trogon comptus","Blue-tailed Trogon"
"Trogoniformes","Trogonidae","Trogon","mesurus","Trogon mesurus","Ecuadorian Trogon"
"Trogoniformes","Trogonidae","Trogon","melanurus","Trogon melanurus","Black-tailed Trogon"
"Trogoniformes","Trogonidae","Trogon","chionurus","Trogon chionurus","White-tailed Trogon"
"Trogoniformes","Trogonidae","Trogon","viridis","Trogon viridis","Green-backed Trogon"
"Trogoniformes","Trogonidae","Trogon","caligatus","Trogon caligatus","Gartered Violaceous-Trogon"
"Trogoniformes","Trogonidae","Trogon","ramonianus","Trogon ramonianus","Amazonian Violaceous-Trogon"
"Trogoniformes","Trogonidae","Trogon","violaceus","Trogon violaceus","Guianan Violaceous-Trogon"
"Trogoniformes","Trogonidae","Trogon","curucui","Trogon curucui","Blue-crowned Trogon"
"Trogoniformes","Trogonidae","Trogon","surrucura","Trogon surrucura","Surucua Trogon"
"Trogoniformes","Trogonidae","Trogon","tenellus","Trogon tenellus","Graceful Black-throated Trogon"
"Trogoniformes","Trogonidae","Trogon","cupreicauda","Trogon cupreicauda","Kerr's Black-throated Trogon"
"Trogoniformes","Trogonidae","Trogon","rufus","Trogon rufus","Amazonian Black-throated Trogon"
"Trogoniformes","Trogonidae","Trogon","chrysochloros","Trogon chrysochloros","Atlantic Black-throated Trogon"
"Trogoniformes","Trogonidae","Trogon","collaris","Trogon collaris","Collared Trogon"
"Trogoniformes","Trogonidae","Trogon","personatus","Trogon personatus","Masked Trogon"
"Coraciiformes","Momotidae","Hylomanes","momotula","Hylomanes momotula","Tody Motmot"
"Coraciiformes","Momotidae","Electron","platyrhynchum","Electron platyrhynchum","Broad-billed Motmot"
"Coraciiformes","Momotidae","Baryphthengus","martii","Baryphthengus martii","Rufous Motmot"
"Coraciiformes","Momotidae","Baryphthengus","ruficapillus","Baryphthengus ruficapillus","Rufous-capped Motmot"
"Coraciiformes","Momotidae","Momotus","subrufescens","Momotus subrufescens","Whooping Motmot"
"Coraciiformes","Momotidae","Momotus","bahamensis","Momotus bahamensis","Trinidad Motmot"
"Coraciiformes","Momotidae","Momotus","momota","Momotus momota","Amazonian Motmot"
"Coraciiformes","Momotidae","Momotus","aequatorialis","Momotus aequatorialis","Andean Motmot"
"Coraciiformes","Alcedinidae","Megaceryle","torquata","Megaceryle torquata","Ringed Kingfisher"
"Coraciiformes","Alcedinidae","Megaceryle","alcyon","Megaceryle alcyon","Belted Kingfisher"
"Coraciiformes","Alcedinidae","Chloroceryle","amazona","Chloroceryle amazona","Amazon Kingfisher"
"Coraciiformes","Alcedinidae","Chloroceryle","aenea","Chloroceryle aenea","American Pygmy Kingfisher"
"Coraciiformes","Alcedinidae","Chloroceryle","americana","Chloroceryle americana","Green Kingfisher"
"Coraciiformes","Alcedinidae","Chloroceryle","inda","Chloroceryle inda","Green-and-rufous Kingfisher"
"Galbuliformes","Galbulidae","Galbalcyrhynchus","leucotis","Galbalcyrhynchus leucotis","White-eared Jacamar"
"Galbuliformes","Galbulidae","Galbalcyrhynchus","purusianus","Galbalcyrhynchus purusianus","Purus Jacamar"
"Galbuliformes","Galbulidae","Brachygalba","albogularis","Brachygalba albogularis","White-throated Jacamar"
"Galbuliformes","Galbulidae","Brachygalba","lugubris","Brachygalba lugubris","Brown Jacamar"
"Galbuliformes","Galbulidae","Brachygalba","goeringi","Brachygalba goeringi","Pale-headed Jacamar"
"Galbuliformes","Galbulidae","Brachygalba","salmoni","Brachygalba salmoni","Dusky-backed Jacamar"
"Galbuliformes","Galbulidae","Jacamaralcyon","tridactyla","Jacamaralcyon tridactyla","Three-toed Jacamar"
"Galbuliformes","Galbulidae","Galbula","albirostris","Galbula albirostris","Yellow-billed Jacamar"
"Galbuliformes","Galbulidae","Galbula","cyanicollis","Galbula cyanicollis","Blue-cheeked Jacamar"
"Galbuliformes","Galbulidae","Galbula","ruficauda","Galbula ruficauda","Rufous-tailed Jacamar"
"Galbuliformes","Galbulidae","Galbula","galbula","Galbula galbula","Green-tailed Jacamar"
"Galbuliformes","Galbulidae","Galbula","tombacea","Galbula tombacea","White-chinned Jacamar"
"Galbuliformes","Galbulidae","Galbula","cyanescens","Galbula cyanescens","Bluish-fronted Jacamar"
"Galbuliformes","Galbulidae","Galbula","pastazae","Galbula pastazae","Coppery-chested Jacamar"
"Galbuliformes","Galbulidae","Galbula","chalcothorax","Galbula chalcothorax","Purplish Jacamar"
"Galbuliformes","Galbulidae","Galbula","leucogastra","Galbula leucogastra","Bronzy Jacamar"
